Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
25201.1667,25200.0334,86,4.412,4.412,10.814,2.0714,2.0466,255,204,0,255,105,25201.1667,25200.0334,86,4.412,4.412,10.814,2.0714,2.0466,255,204,0,255,105
25501.1667,25500.0334,87,4.416,4.416,10.824,2.0712,2.0466,255,239,0,255,105,25501.1667,25500.0334,87,4.416,4.416,10.824,2.0712,2.0466,255,239,0,255,105
25801.1667,25800.0334,88,4.382,4.382,10.79,2.0712,2.0466,255,220,0,255,105,25801.1667,25800.0334,88,4.382,4.382,10.79,2.0712,2.0466,255,220,0,255,105
26101.1667,26100.0334,89,4.428,4.428,10.845,2.0713,2.038,255,205,0,255,105,26101.1667,26100.0334,89,4.428,4.428,10.845,2.0713,2.038,255,205,0,255,105
26401.1667,26400.0334,90,4.429,4.429,10.848,2.0715,2.038,255,240,0,255,105,26401.1667,26400.0334,90,4.429,4.429,10.848,2.0715,2.038,255,240,0,255,105
26701.1667,26700.0334,91,4.414,4.414,10.819,2.0708,2.038,255,202,0,255,105,26701.1667,26700.0334,91,4.414,4.414,10.819,2.0708,2.038,255,202,0,255,105
27001.1667,27000.0334,92,4.419,4.419,10.828,2.071,2.038,255,205,0,255,105,27001.1667,27000.0334,92,4.419,4.419,10.828,2.071,2.038,255,205,0,255,105
27301.1667,27300.0334,93,4.431,4.431,10.85,2.0714,2.038,255,211,0,255,105,27301.1667,27300.0334,93,4.431,4.431,10.85,2.0714,2.038,255,211,0,255,105
27601.1667,27600.0334,94,4.427,4.427,10.845,2.0712,2.038,255,218,0,255,105,27601.1667,27600.0334,94,4.427,4.427,10.845,2.0712,2.038,255,218,0,255,105
27901.1667,27900.0334,95,4.379,4.379,10.781,2.0712,2.038,255,235,0,255,105,27901.1667,27900.0334,95,4.379,4.379,10.781,2.0712,2.038,255,235,0,255,105
28201.1667,28200.0334,96,4.371,4.371,10.768,2.0713,2.038,255,207,0,255,105,28201.1667,28200.0334,96,4.371,4.371,10.768,2.0713,2.038,255,207,0,255,105
28501.1667,28500.0334,97,4.433,4.433,10.857,2.0715,2.038,255,222,0,255,105,28501.1667,28500.0334,97,4.433,4.433,10.857,2.0715,2.038,255,222,0,255,105
28801.1667,28800.0334,98,4.421,4.421,10.834,2.0711,2.038,255,206,0,255,105,28801.1667,28800.0334,98,4.421,4.421,10.834,2.0711,2.038,255,206,0,255,105
29101.1667,29100.0334,99,4.402,4.402,10.796,2.0713,2.0552,255,211,0,255,105,29101.1667,29100.0334,99,4.402,4.402,10.796,2.0713,2.0552,255,211,0,255,105
29401.1667,29400.0334,100,4.353,4.353,10.733,2.0713,2.0552,255,233,0,255,105,29401.1667,29400.0334,100,4.353,4.353,10.733,2.0713,2.0552,255,233,0,255,105
29701.1667,29700.0334,101,4.409,4.409,10.81,2.0713,2.0552,255,206,0,255,105,29701.1667,29700.0334,101,4.409,4.409,10.81,2.0713,2.0552,255,206,0,255,105
30001.1667,30000.0334,102,4.355,4.355,10.738,2.0712,2.0552,255,223,0,255,105,30001.1667,30000.0334,102,4.355,4.355,10.738,2.0712,2.0552,255,223,0,255,105
30301.1667,30300.0334,103,4.349,4.349,10.723,2.071,2.0552,255,237,0,255,105,30301.1667,30300.0334,103,4.349,4.349,10.723,2.071,2.0552,255,237,0,255,105
30601.1667,30600.0334,104,4.406,4.406,10.802,2.0712,2.0552,255,213,0,255,105,30601.1667,30600.0334,104,4.406,4.406,10.802,2.0712,2.0552,255,213,0,255,105
30901.1667,30900.0334,105,4.394,4.394,10.781,2.0711,2.0552,255,204,0,255,105,30901.1667,30900.0334,105,4.394,4.394,10.781,2.0711,2.0552,255,204,0,255,105
31201.1667,31200.0334,106,4.417,4.417,10.826,2.0713,2.0552,255,235,0,255,105,31201.1667,31200.0334,106,4.417,4.417,10.826,2.0713,2.0552,255,235,0,255,105
31501.1667,31500.0334,107,4.41,4.41,10.812,2.0712,2.0552,255,212,0,255,105,31501.1667,31500.0334,107,4.41,4.41,10.812,2.0712,2.0552,255,212,0,255,105
31801.1667,31800.0334,108,4.407,4.407,10.807,2.071,2.0552,255,224,0,255,105,31801.1667,31800.0334,108,4.407,4.407,10.807,2.071,2.0552,255,224,0,255,105
32101.1667,32100.0334,109,4.354,4.354,10.731,2.0711,2.0552,255,204,0,255,105,32101.1667,32100.0334,109,4.354,4.354,10.731,2.0711,2.0552,255,204,0,255,105
32401.1667,32400.0334,110,4.405,4.405,10.803,2.0713,2.0552,255,207,0,255,105,32401.1667,32400.0334,110,4.405,4.405,10.803,2.0713,2.0552,255,207,0,255,105
32701.1667,32700.0334,111,4.412,4.412,10.815,2.0713,2.0552,255,229,0,255,105,32701.1667,32700.0334,111,4.412,4.412,10.815,2.0713,2.0552,255,229,0,255,105
33001.1667,33000.0334,112,4.405,4.405,10.802,2.0714,2.0552,255,221,0,255,105,33001.1667,33000.0334,112,4.405,4.405,10.802,2.0714,2.0552,255,221,0,255,105
33301.1667,33300.0334,113,4.406,4.406,10.803,2.0713,2.0552,255,223,0,255,105,33301.1667,33300.0334,113,4.406,4.406,10.803,2.0713,2.0552,255,223,0,255,105
33601.1667,33600.0334,114,4.41,4.41,10.81,2.0709,2.0552,255,217,0,255,105,33601.1667,33600.0334,114,4.41,4.41,10.81,2.0709,2.0552,255,217,0,255,105
